Disease,Description,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Medication,Diet
Fungal Infection,Fungal infection is a common skin condition caused by fungi.,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Allergy,Allergy is an immune system reaction to a substance in the environment.,apply calamine,cover area with bandage,,use ice to compress itching,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Gerd,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
Chronic Cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,cold baths,anti itch medicine,consult doctor,eat healthy,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,stop irritation,consult nearest hospital,stop taking drug,follow up,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
Peptic Ulcer Disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,,,,,"['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
Aids,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,avoid open cuts,wear ppe if possible,consult doctor,follow up,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']"
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,have balanced diet,exercise,consult doctor,follow up,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,switch to loose cloothing,take deep breaths,get away from trigger,seek help,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']","['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
